model,scope,metric,permutation,value
R1-I1,all,harmful_fraction,33,0.8369
R1-I1,all,harmful_fraction,34,0.8322
R1-I1,all,harmful_fraction,35,0.8431
R1-I1,all,harmful_fraction,36,0.836
R1-I1,all,harmful_fraction,37,0.8353
R1-I1,all,harmful_fraction,38,0.8392
R1-I1,all,harmful_fraction,39,0.8293
R1-I1,all,harmful_fraction,40,0.8336
R1-I1,all,harmful_fraction,41,0.8337
R1-I1,all,harmful_fraction,42,0.8376
R1-I1,all,harmful_fraction,43,0.8347
R1-I1,all,harmful_fraction,44,0.8416
R1-I1,all,harmful_fraction,45,0.8363
R1-I1,all,harmful_fraction,46,0.8339
R1-I1,all,harmful_fraction,47,0.8365
R1-I1,all,harmful_fraction,48,0.833
R1-I1,all,harmful_fraction,49,0.8377
R1-I1,oracle1,recall,0,0.8390414798206274
R1-I1,oracle1,recall,1,0.8397141255605353
R1-I1,oracle1,recall,2,0.8404428251121054
R1-I1,oracle1,recall,3,0.8407090807174866
