scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,boundary_gap_r5,overall_mean_loss,3,1001,3392.978021978022,0.11459873459873461
all,boundary_gap_r5,overall_mean_loss,4,1000,3869.838,0.10017333333333335
all,boundary_gap_r5,overall_mean_loss,5,998,4355.506012024048,0.09571810287241152
all,boundary_gap_r5,overall_mean_loss,6,1000,4929.99,0.08899333333333335
all,boundary_gap_r5,overall_mean_loss,7,1000,5620.247,0.07924666666666667
all,boundary_gap_r5,overall_mean_loss,8,1002,6673.152694610779,0.07455755156353959
all,boundary_gap_r5,overall_mean_loss,9,1000,10134.459,0.06249333333333334
all,boundary_gap_r5,harmful_rotation_frequency,0,1000,1580.625,0.9436
all,boundary_gap_r5,harmful_rotation_frequency,1,1000,2411.863,0.896
all,boundary_gap_r5,harmful_rotation_frequency,2,999,2916.197197197197,0.8494494494494493
all,boundary_gap_r5,harmful_rotation_frequency,3,1001,3392.978021978022,0.8275724275724277
all,boundary_gap_r5,harmful_rotation_frequency,4,1000,3869.838,0.7766000000000002
all,boundary_gap_r5,harmful_rotation_frequency,5,998,4355.506012024048,0.7462925851703407
all,boundary_gap_r5,harmful_rotation_frequency,6,1000,4929.99,0.7121999999999999
all,boundary_gap_r5,harmful_rotation_frequency,7,1000,5620.247,0.6713999999999999
all,boundary_gap_r5,harmful_rotation_frequency,8,1002,6673.152694610779,0.6522954091816368
all,boundary_gap_r5,harmful_rotation_frequency,9,1000,10134.459,0.5538
all,boundary_gap_r5,within_rotation_initialization_variance,0,1000,1580.625,0.0043360000000000004
all,boundary_gap_r5,within_rotation_initialization_variance,1,1000,2411.863,0.003748
all,boundary_gap_r5,within_rotation_initialization_variance,2,999,2916.197197197197,0.0033375597820042265
